 Shallow Bytes │ Shallow % │ Item
───────────────┼───────────┼──────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
          1750 ┊     0.03% ┊ hashbrown::raw::RawTableInner<A>::fallible_with_capacity::h51f4f1970bf734e2
          1732 ┊     0.03% ┊ <leptos_dom::View as core::cmp::PartialEq>::eq::h53a56600d74af2aa
          1702 ┊     0.03% ┊ leptos_icons::IconPropsBuilder<I,((leptos_reactive::signal_wrappers_read::MaybeSignal<I>,),__width,__height,__class,__style)>::build::h3b6a59c0bef591b4
          1702 ┊     0.03% ┊ leptos_icons::IconPropsBuilder<I,((leptos_reactive::signal_wrappers_read::MaybeSignal<I>,),__width,__height,__class,__style)>::build::h4067361d3aeede72
          1702 ┊     0.03% ┊ leptos_icons::IconPropsBuilder<I,((leptos_reactive::signal_wrappers_read::MaybeSignal<I>,),__width,__height,__class,__style)>::build::ha13d46d120b3db05
          1698 ┊     0.03% ┊ slotmap::basic::SlotMap<K,V>::insert_with_key::h1f16c5cc276be592
          1603 ┊     0.02% ┊ leptos_reactive::signal::<impl leptos_reactive::node::NodeId>::subscribe::hcc7cbe161c33bfcc
          1594 ┊     0.02% ┊ hashbrown::raw::inner::RawTableInner<A>::rehash_in_place::h809107f21251eca2
          1532 ┊     0.02% ┊ <leptos_dom::View as core::clone::Clone>::clone::h5b1d16743b16e59d
          1517 ┊     0.02% ┊ slotmap::sparse_secondary::SparseSecondaryMap<K,V,S>::entry::h2b356e34edb5ecaa
          1423 ┊     0.02% ┊ core::char::methods::encode_utf8_raw::h1fca04f2c18ae9b5
          1423 ┊     0.02% ┊ core::char::methods::encode_utf8_raw::h72c984f79e038d52
          1423 ┊     0.02% ┊ core::char::methods::encode_utf8_raw::h435b08f33bad90da
          1423 ┊     0.02% ┊ core::char::methods::encode_utf8_raw::hd4dc8f629f5fde6e
          1423 ┊     0.02% ┊ leptos_reactive::runtime::Runtime::register_property::h508b590ba80336ce
          1357 ┊     0.02% ┊ hashbrown::raw::RawTableInner<A>::find_or_find_insert_slot_inner::h64e7493429f4d032
          1350 ┊     0.02% ┊ <core::str::pattern::CharSearcher as core::str::pattern::Searcher>::next_match::h0380aa57950ecf9a
          1341 ┊     0.02% ┊ alloc::raw_vec::RawVec<T,A>::grow_amortized::hf7869a65b55dd18b
          1340 ┊     0.02% ┊ alloc::raw_vec::RawVec<T,A>::grow_amortized::h0fed853c0f3da33d
          1340 ┊     0.02% ┊ alloc::raw_vec::RawVec<T,A>::grow_amortized::h179029fbeeffb4f8
          1340 ┊     0.02% ┊ alloc::raw_vec::RawVec<T,A>::grow_amortized::h1dc74bc3a5454441
          1340 ┊     0.02% ┊ alloc::raw_vec::RawVec<T,A>::grow_amortized::h28f1da54f9b4e34c
          1340 ┊     0.02% ┊ alloc::raw_vec::RawVec<T,A>::grow_amortized::h78332d63e588dcd3
          1340 ┊     0.02% ┊ alloc::raw_vec::RawVec<T,A>::grow_amortized::h8193257a431fca13
          1340 ┊     0.02% ┊ alloc::raw_vec::RawVec<T,A>::grow_amortized::hbcd3b5aab528057d
          1340 ┊     0.02% ┊ alloc::raw_vec::RawVec<T,A>::grow_amortized::hfcd999ce08bb16bd
          1339 ┊     0.02% ┊ leptos_dom::html::HtmlElement<El>::classes_inner::h91a59ed76cb636f9
          1336 ┊     0.02% ┊ alloc::raw_vec::RawVec<T,A>::grow_amortized::hc2fa009a0b5d0ede
          1336 ┊     0.02% ┊ alloc::raw_vec::RawVec<T,A>::grow_amortized::hd2eddef70f5fbb7d
          1313 ┊     0.02% ┊ leptos_dom::macro_helpers::into_class::class_expression::h30d22267decdce24
          1305 ┊     0.02% ┊ leptos_icons::Icon::h0971213ddb8c8897
          1305 ┊     0.02% ┊ leptos_icons::Icon::h2da972a9251fff09
          1305 ┊     0.02% ┊ leptos_icons::Icon::h6ab05e27dfeae7b9
          1305 ┊     0.02% ┊ leptos_icons::Icon::ha90ae61e9df2e9c6
          1305 ┊     0.02% ┊ leptos_icons::Icon::hbc6d72a96289fc89
          1305 ┊     0.02% ┊ leptos_icons::Icon::hc7a40d5d48080a4c
          1298 ┊     0.02% ┊ <leptos_dom::components::each::EachRepr as core::fmt::Debug>::fmt::h91e883c4aca61f66
          1280 ┊     0.02% ┊ dlmalloc::dlmalloc::Dlmalloc<A>::free::h93a052fef152a2c3
          1277 ┊     0.02% ┊ core::str::slice_error_fail_rt::h135c02c6891c4592
          1268 ┊     0.02% ┊ <alloc::alloc::Global as core::alloc::Allocator>::shrink::h9438926e8fd50916
          1268 ┊     0.02% ┊ <alloc::alloc::Global as core::alloc::Allocator>::shrink::h344e2607e89d2153
          1257 ┊     0.02% ┊ alloc::raw_vec::finish_grow::h2096d1edf8172557
          1257 ┊     0.02% ┊ alloc::raw_vec::finish_grow::h7614083d4ea8305e
          1257 ┊     0.02% ┊ alloc::raw_vec::finish_grow::h5325015f8b458c11
          1246 ┊     0.02% ┊ hashbrown::raw::RawTableInner<A>::prepare_rehash_in_place::ha14d42655429cc02
          1237 ┊     0.02% ┊ alloc::raw_vec::RawVec<T,A>::shrink::hfc83e747f5dfead7
          1237 ┊     0.02% ┊ alloc::raw_vec::RawVec<T,A>::shrink::h722ba67d4f2cccf6
          1237 ┊     0.02% ┊ alloc::raw_vec::RawVec<T,A>::shrink::h8925867d064ead01
          1232 ┊     0.02% ┊ alloc::raw_vec::RawVec<T,A>::grow_exact::h0d8ce8e9d849bffa
          1230 ┊     0.02% ┊ <alloc::rc::Rc<T,A> as core::ops::drop::Drop>::drop::h5683f98a7cc5b60b
          1227 ┊     0.02% ┊ hashbrown::raw::RawTable<T,A>::find::h93a31c1fa9d77c0c
          1227 ┊     0.02% ┊ hashbrown::raw::RawTable<T,A>::find::hba1682b2f31b4d91
          1223 ┊     0.02% ┊ hashbrown::raw::RawTable<T,A>::find::hc643e6e6cb974dfb
          1208 ┊     0.02% ┊ core::ptr::swap_nonoverlapping::h0fd348ae7b5f1594
          1208 ┊     0.02% ┊ core::ptr::swap_nonoverlapping::h4679f6f68f61445e
          1184 ┊     0.02% ┊ alloc::alloc::Global::grow_impl::hf831592dd5ed25ee
          1184 ┊     0.02% ┊ alloc::alloc::Global::grow_impl::h1a15f313b5793252
          1184 ┊     0.02% ┊ alloc::alloc::Global::grow_impl::h4aa172fa2cf9479c
          1166 ┊     0.02% ┊ <leptos_dom::components::dyn_child::DynChildRepr as core::fmt::Debug>::fmt::hb0bf3f2294f37e7c
          1155 ┊     0.02% ┊ leptos_dom::components::dyn_child::DynChildRepr::new_with_id::h9b9d303691cf6d3c
          1149 ┊     0.02% ┊ core::str::validations::next_code_point_reverse::h25479715a96b58a8
          1142 ┊     0.02% ┊ hashbrown::raw::inner::TableLayout::calculate_layout_for::hbc25832d8b6ed7d8
          1113 ┊     0.02% ┊ leptos_icons::IconPropsBuilder<I,(__icon,__width,(),__class,__style)>::height::h501bc4111fd2db0a
          1113 ┊     0.02% ┊ leptos_icons::IconPropsBuilder<I,(__icon,__width,(),__class,__style)>::height::h75c7e4a456060c0b
          1088 ┊     0.02% ┊ leptos_reactive::runtime::Runtime::update_if_necessary::hd9a56a8c52170efe
          1086 ┊     0.02% ┊ hashbrown::raw::TableLayout::calculate_layout_for::hb67abc2852816181
          1070 ┊     0.02% ┊ std::sys::common::thread_local::lazy::LazyKeyInner<T>::initialize::habaf4b8515d916b3
          1046 ┊     0.02% ┊ leptos_icons::IconPropsBuilder<I,(__icon,__width,__height,__class,())>::style::ha6d7757d903466df
          1031 ┊     0.02% ┊ slotmap::secondary::SecondaryMap<K,V>::insert::h1df76b5fddba1939
          1026 ┊     0.02% ┊ core::str::validations::next_code_point::h228ad6b2bb8c1d1c
          1021 ┊     0.02% ┊ hashbrown::raw::inner::RawTableInner<A>::fallible_with_capacity::h24ada4ab24ac5dfe
           996 ┊     0.01% ┊ <T as alloc::slice::hack::ConvertVec>::to_vec::h5345506d73274de7
           990 ┊     0.01% ┊ core::ptr::swap_nonoverlapping::h37d43694e7d706c0
           983 ┊     0.01% ┊ hashbrown::raw::RawTableInner<A>::prepare_resize::h663b9601c6db1b6e
           980 ┊     0.01% ┊ __rdl_realloc
           954 ┊     0.01% ┊ core::fmt::Formatter::pad::hb0ff7d130af3adca
           940 ┊     0.01% ┊ slotmap::secondary::SecondaryMap<K,V>::entry::h71ecd31fb81b181e
           939 ┊     0.01% ┊ <leptos_dom::components::each::EachItem as core::fmt::Debug>::fmt::h6d32cb526665e2da
           939 ┊     0.01% ┊ alloc::alloc::Global::alloc_impl::h5f12a6a849f2509a
           939 ┊     0.01% ┊ alloc::alloc::Global::alloc_impl::h45bdb5f505424a8a
           939 ┊     0.01% ┊ alloc::alloc::Global::alloc_impl::hfb329b4b64f70f9c
           939 ┊     0.01% ┊ alloc::alloc::Global::alloc_impl::h53f30baf0b714fbc
           939 ┊     0.01% ┊ alloc::alloc::Global::alloc_impl::h7701c72842f6a90e
           939 ┊     0.01% ┊ alloc::alloc::Global::alloc_impl::h8a035d1810ee0be4
           939 ┊     0.01% ┊ alloc::alloc::Global::alloc_impl::h5b28993b526336f3
           939 ┊     0.01% ┊ alloc::alloc::Global::alloc_impl::hcf44d30e4f4205f4
