 Shallow Bytes │ Shallow % │ Item
───────────────┼───────────┼──────────────────────────────────────────────────────────
          1191 ┊     0.03% ┊ data[8924]
          1187 ┊     0.03% ┊ data[4652]
          1187 ┊     0.03% ┊ data[7994]
          1183 ┊     0.03% ┊ data[1718]
          1183 ┊     0.03% ┊ data[4686]
          1183 ┊     0.03% ┊ data[7352]
          1183 ┊     0.03% ┊ data[8360]
          1183 ┊     0.03% ┊ data[10712]
          1179 ┊     0.03% ┊ data[11346]
          1171 ┊     0.03% ┊ data[4136]
          1171 ┊     0.03% ┊ data[8562]
          1171 ┊     0.03% ┊ data[10608]
          1167 ┊     0.03% ┊ data[2464]
          1167 ┊     0.03% ┊ data[4744]
          1167 ┊     0.03% ┊ data[10648]
          1166 ┊     0.03% ┊ code[204]
          1163 ┊     0.03% ┊ data[5020]
          1163 ┊     0.03% ┊ data[11368]
          1159 ┊     0.03% ┊ data[3898]
          1159 ┊     0.03% ┊ data[4850]
          1159 ┊     0.03% ┊ data[8226]
          1159 ┊     0.03% ┊ data[8296]
          1159 ┊     0.03% ┊ data[10454]
          1157 ┊     0.03% ┊ code[17]
          1157 ┊     0.03% ┊ code[18]
          1157 ┊     0.03% ┊ code[19]
          1155 ┊     0.03% ┊ data[3796]
          1155 ┊     0.03% ┊ data[7594]
          1151 ┊     0.03% ┊ data[4524]
          1151 ┊     0.03% ┊ data[8718]
          1151 ┊     0.03% ┊ data[9606]
          1147 ┊     0.03% ┊ data[6418]
          1147 ┊     0.03% ┊ data[6668]
          1147 ┊     0.03% ┊ data[7726]
          1147 ┊     0.03% ┊ data[9228]
          1147 ┊     0.03% ┊ data[10798]
          1147 ┊     0.03% ┊ data[10984]
          1143 ┊     0.03% ┊ data[4656]
          1143 ┊     0.03% ┊ data[8762]
          1139 ┊     0.03% ┊ data[5812]
          1139 ┊     0.03% ┊ data[7472]
          1139 ┊     0.03% ┊ data[8850]
          1139 ┊     0.03% ┊ data[9510]
          1139 ┊     0.03% ┊ data[10820]
          1139 ┊     0.03% ┊ data[11350]
          1135 ┊     0.03% ┊ data[3178]
          1135 ┊     0.03% ┊ data[7656]
          1135 ┊     0.03% ┊ data[7852]
          1135 ┊     0.03% ┊ data[8278]
          1135 ┊     0.03% ┊ data[8554]
          1135 ┊     0.03% ┊ data[8900]
          1135 ┊     0.03% ┊ data[10736]
          1135 ┊     0.03% ┊ data[10988]
          1135 ┊     0.03% ┊ data[11280]
          1131 ┊     0.03% ┊ data[2594]
          1131 ┊     0.03% ┊ data[3806]
          1131 ┊     0.03% ┊ data[8546]
          1131 ┊     0.03% ┊ data[9494]
          1131 ┊     0.03% ┊ data[10838]
          1127 ┊     0.03% ┊ data[1118]
          1127 ┊     0.03% ┊ data[5356]
          1127 ┊     0.03% ┊ data[7180]
          1123 ┊     0.03% ┊ data[3904]
          1123 ┊     0.03% ┊ data[7536]
          1123 ┊     0.03% ┊ data[9822]
          1123 ┊     0.03% ┊ data[10802]
          1123 ┊     0.03% ┊ data[11056]
          1119 ┊     0.03% ┊ data[194]
          1119 ┊     0.03% ┊ data[2682]
          1119 ┊     0.03% ┊ data[3802]
          1119 ┊     0.03% ┊ data[4650]
          1119 ┊     0.03% ┊ data[8362]
          1119 ┊     0.03% ┊ data[8662]
          1119 ┊     0.03% ┊ data[10940]
          1119 ┊     0.03% ┊ data[11238]
          1115 ┊     0.03% ┊ data[2350]
          1115 ┊     0.03% ┊ data[3790]
          1115 ┊     0.03% ┊ data[7708]
          1115 ┊     0.03% ┊ data[9200]
          1115 ┊     0.03% ┊ data[9884]
          1111 ┊     0.03% ┊ data[1390]
          1111 ┊     0.03% ┊ data[2312]
          1111 ┊     0.03% ┊ data[3948]
          1111 ┊     0.03% ┊ data[7568]
          1111 ┊     0.03% ┊ data[9582]
          1107 ┊     0.02% ┊ data[2544]
          1107 ┊     0.02% ┊ data[3180]
          1107 ┊     0.02% ┊ data[4848]
          1107 ┊     0.02% ┊ data[9878]
          1103 ┊     0.02% ┊ data[5990]
          1103 ┊     0.02% ┊ data[7286]
          1103 ┊     0.02% ┊ data[8806]
          1103 ┊     0.02% ┊ data[10564]
          1103 ┊     0.02% ┊ data[10942]
          1103 ┊     0.02% ┊ data[10946]
          1103 ┊     0.02% ┊ data[11308]
          1099 ┊     0.02% ┊ data[148]
          1099 ┊     0.02% ┊ data[4784]
          1099 ┊     0.02% ┊ data[8720]
          1099 ┊     0.02% ┊ data[8764]
          1099 ┊     0.02% ┊ data[9344]
          1095 ┊     0.02% ┊ data[3798]
          1095 ┊     0.02% ┊ data[4952]
          1095 ┊     0.02% ┊ data[7322]
          1095 ┊     0.02% ┊ data[9180]
          1095 ┊     0.02% ┊ data[9316]
          1095 ┊     0.02% ┊ data[9512]
          1091 ┊     0.02% ┊ data[3792]
          1091 ┊     0.02% ┊ data[4676]
          1091 ┊     0.02% ┊ data[4682]
          1091 ┊     0.02% ┊ data[10386]
          1091 ┊     0.02% ┊ data[11286]
          1087 ┊     0.02% ┊ data[4612]
          1087 ┊     0.02% ┊ data[6606]
          1087 ┊     0.02% ┊ data[7846]
          1087 ┊     0.02% ┊ data[9206]
          1083 ┊     0.02% ┊ data[10014]
          1079 ┊     0.02% ┊ data[1342]
          1079 ┊     0.02% ┊ data[8516]
          1075 ┊     0.02% ┊ data[3936]
          1075 ┊     0.02% ┊ data[3946]
          1075 ┊     0.02% ┊ data[8630]
          1075 ┊     0.02% ┊ data[8726]
          1071 ┊     0.02% ┊ data[1510]
          1071 ┊     0.02% ┊ data[8938]
          1071 ┊     0.02% ┊ data[9154]
          1071 ┊     0.02% ┊ data[11104]
          1071 ┊     0.02% ┊ data[11176]
          1071 ┊     0.02% ┊ data[11184]
          1067 ┊     0.02% ┊ data[1364]
          1067 ┊     0.02% ┊ data[3004]
          1067 ┊     0.02% ┊ data[3944]
          1067 ┊     0.02% ┊ data[6618]
          1067 ┊     0.02% ┊ data[8664]
          1067 ┊     0.02% ┊ data[9236]
          1063 ┊     0.02% ┊ data[3128]
          1063 ┊     0.02% ┊ data[4020]
          1063 ┊     0.02% ┊ data[5372]
          1063 ┊     0.02% ┊ data[9036]
          1063 ┊     0.02% ┊ data[11208]
          1059 ┊     0.02% ┊ data[2738]
          1059 ┊     0.02% ┊ data[3932]
          1059 ┊     0.02% ┊ data[8244]
          1059 ┊     0.02% ┊ data[8534]
          1059 ┊     0.02% ┊ data[9826]
          1055 ┊     0.02% ┊ data[2]
          1055 ┊     0.02% ┊ data[408]
          1055 ┊     0.02% ┊ data[9220]
          1055 ┊     0.02% ┊ data[11356]
          1051 ┊     0.02% ┊ data[1140]
          1051 ┊     0.02% ┊ data[2274]
          1051 ┊     0.02% ┊ data[8228]
          1051 ┊     0.02% ┊ data[8790]
          1051 ┊     0.02% ┊ data[10292]
          1047 ┊     0.02% ┊ data[5350]
          1047 ┊     0.02% ┊ data[5814]
          1047 ┊     0.02% ┊ data[6834]
          1047 ┊     0.02% ┊ data[8558]
          1047 ┊     0.02% ┊ data[8560]
          1047 ┊     0.02% ┊ data[9060]
          1047 ┊     0.02% ┊ data[10184]
          1043 ┊     0.02% ┊ data[4680]
          1043 ┊     0.02% ┊ data[5644]
          1043 ┊     0.02% ┊ data[6498]
          1043 ┊     0.02% ┊ data[9330]
          1039 ┊     0.02% ┊ data[3126]
          1039 ┊     0.02% ┊ data[3938]
          1039 ┊     0.02% ┊ data[4670]
          1039 ┊     0.02% ┊ data[5284]
          1039 ┊     0.02% ┊ data[6282]
          1039 ┊     0.02% ┊ data[7858]
          1039 ┊     0.02% ┊ data[10018]
          1039 ┊     0.02% ┊ data[10394]
          1035 ┊     0.02% ┊ data[4444]
          1035 ┊     0.02% ┊ data[4678]
          1035 ┊     0.02% ┊ data[5686]
          1035 ┊     0.02% ┊ data[7848]
          1035 ┊     0.02% ┊ data[9342]
          1035 ┊     0.02% ┊ data[9598]
          1031 ┊     0.02% ┊ data[6266]
          1031 ┊     0.02% ┊ data[10486]
          1031 ┊     0.02% ┊ data[10822]
          1029 ┊     0.02% ┊ code[86]
          1027 ┊     0.02% ┊ data[3930]
          1027 ┊     0.02% ┊ data[4666]
          1027 ┊     0.02% ┊ data[9214]
          1023 ┊     0.02% ┊ data[3958]
          1023 ┊     0.02% ┊ data[5342]
          1023 ┊     0.02% ┊ data[7564]
          1023 ┊     0.02% ┊ data[8728]
          1023 ┊     0.02% ┊ data[10080]
          1019 ┊     0.02% ┊ data[4672]
          1019 ┊     0.02% ┊ data[4786]
          1019 ┊     0.02% ┊ data[5882]
          1019 ┊     0.02% ┊ data[6576]
          1019 ┊     0.02% ┊ data[10108]
          1019 ┊     0.02% ┊ data[10462]
          1019 ┊     0.02% ┊ data[10544]
          1019 ┊     0.02% ┊ data[10882]
          1015 ┊     0.02% ┊ data[272]
          1015 ┊     0.02% ┊ data[6592]
          1015 ┊     0.02% ┊ data[6988]
          1015 ┊     0.02% ┊ data[7864]
          1015 ┊     0.02% ┊ data[7948]
          1015 ┊     0.02% ┊ data[9326]
          1011 ┊     0.02% ┊ data[154]
          1011 ┊     0.02% ┊ data[1714]
          1011 ┊     0.02% ┊ data[4022]
          1011 ┊     0.02% ┊ data[5884]
          1011 ┊     0.02% ┊ data[9320]
          1011 ┊     0.02% ┊ data[10274]
          1011 ┊     0.02% ┊ data[10422]
          1007 ┊     0.02% ┊ data[2634]
          1007 ┊     0.02% ┊ data[2736]
          1007 ┊     0.02% ┊ data[4896]
          1007 ┊     0.02% ┊ data[6578]
          1007 ┊     0.02% ┊ data[6598]
          1007 ┊     0.02% ┊ data[9056]
          1007 ┊     0.02% ┊ data[9082]
          1003 ┊     0.02% ┊ data[2300]
          1003 ┊     0.02% ┊ data[3924]
          1003 ┊     0.02% ┊ data[3956]
          1003 ┊     0.02% ┊ data[6796]
          1003 ┊     0.02% ┊ data[10064]
          1003 ┊     0.02% ┊ data[11292]
           999 ┊     0.02% ┊ data[5562]
           999 ┊     0.02% ┊ data[7850]
           999 ┊     0.02% ┊ data[8836]
           999 ┊     0.02% ┊ data[11092]
           995 ┊     0.02% ┊ data[3228]
           995 ┊     0.02% ┊ data[3954]
           995 ┊     0.02% ┊ data[4664]
           995 ┊     0.02% ┊ data[5326]
           995 ┊     0.02% ┊ data[9226]
           991 ┊     0.02% ┊ data[202]
           991 ┊     0.02% ┊ data[3920]
           991 ┊     0.02% ┊ data[3966]
           991 ┊     0.02% ┊ data[7860]
           987 ┊     0.02% ┊ data[1704]
           987 ┊     0.02% ┊ data[2498]
           987 ┊     0.02% ┊ data[7284]
           987 ┊     0.02% ┊ data[8512]
           987 ┊     0.02% ┊ data[9780]
           987 ┊     0.02% ┊ data[10660]
           987 ┊     0.02% ┊ data[10696]
           983 ┊     0.02% ┊ data[1710]
           983 ┊     0.02% ┊ data[2118]
           983 ┊     0.02% ┊ data[3934]
           983 ┊     0.02% ┊ data[4662]
           983 ┊     0.02% ┊ data[4770]
           983 ┊     0.02% ┊ data[7870]
           979 ┊     0.02% ┊ data[10124]
           979 ┊     0.02% ┊ data[10726]
           975 ┊     0.02% ┊ data[3942]
           975 ┊     0.02% ┊ data[3978]
           975 ┊     0.02% ┊ data[5334]
           975 ┊     0.02% ┊ data[5468]
           975 ┊     0.02% ┊ data[8804]
           975 ┊     0.02% ┊ data[9188]
           975 ┊     0.02% ┊ data[9192]
           975 ┊     0.02% ┊ data[10008]
           967 ┊     0.02% ┊ data[260]
           967 ┊     0.02% ┊ data[5304]
           967 ┊     0.02% ┊ data[5646]
           967 ┊     0.02% ┊ data[8990]
           967 ┊     0.02% ┊ data[9666]
           967 ┊     0.02% ┊ data[9842]
           967 ┊     0.02% ┊ data[10012]
           963 ┊     0.02% ┊ data[1168]
           963 ┊     0.02% ┊ data[1344]
           963 ┊     0.02% ┊ data[3728]
           963 ┊     0.02% ┊ data[9184]
           963 ┊     0.02% ┊ data[9204]
           963 ┊     0.02% ┊ data[11220]
           959 ┊     0.02% ┊ data[3724]
           959 ┊     0.02% ┊ data[5302]
           959 ┊     0.02% ┊ data[8336]
           959 ┊     0.02% ┊ data[8614]
           959 ┊     0.02% ┊ data[10234]
           959 ┊     0.02% ┊ data[10392]
           959 ┊     0.02% ┊ data[11294]
           955 ┊     0.02% ┊ code[21]
           955 ┊     0.02% ┊ data[3918]
           955 ┊     0.02% ┊ data[3926]
           955 ┊     0.02% ┊ data[3952]
